trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-161.01861210349952,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-167.52904997773427,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-191.49722659521936,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-74.86378670972951,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-44.89749177842474,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,20,-88.74138925455435,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-65.1711557226244,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,3,-53.028396947018116,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-26.583454639617383,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,18.050027442136788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,-51.64508381126937,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-25.739311836840525,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-6.847463157761974,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-9.936427737976327,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,1,-99.54133219733896,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-71.36245998076274,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,2,-30.704343503546585,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-49.16096087186326,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,12,-67.19085658430498,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,20.364146302182043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,17.545254662685423,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-97.53047746000527,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,27.131837508799347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,6,-170.5089452398709,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 4}",1
5,True,"{'a': 0, 'e': 0}",30,19,15.652245892092171,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,-23.512747503247454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,0,-20.030575951809396,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,12,4.9442573812403285,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,16.092843118439966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-69.97932709428044,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
