trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9920319148370607}",25,0,-104.92692901960528,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9841273200552851}",20,0,-201.7856357803945,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.1, 'e': 0.9762857097579093}",20,0,-72.27838120876174,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9685065820791976}",30,0,-77.00304888841329,"{0: 22, 1: 5, 2: 0, 3: 2, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9607894391523232}",20,0,-80.22736098755198,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9531337870775047}",20,0,-131.98836277020575,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9455391358903963}",25,0,-98.0424649824753,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9380049995307295}",20,0,-135.87789371663038,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9305308958112057}",30,0,-80.27741360081698,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-108.41888837083593,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9157608767233256}",35,0,-194.1768927409076,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.9084640160687062}",25,0,-51.619273559538975,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9012252974212048}",20,0,-79.78864555886959,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8940442575003572}",25,0,-71.11942361395906,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.8869204367171575}",20,0,-99.14950268352828,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8798533791446438}",25,11,-3.922869814433147,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.8728426324887193}",25,11,9.811226024887528,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.865887748059205}",20,0,-104.13595350963625,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.8589882807411235}",25,0,-76.8432975585219,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.8521437889662113}",25,0,-24.86819423789761,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.8453538346846587}",25,0,-186.46456044186388,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.838617983337074}",20,0,-179.38368011370326,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.8319358038266718}",20,0,-95.93978886074719,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.8253068684916824}",20,0,-67.54152128221143,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-144.26053570682174,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
