trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,7,-124.95788420830277,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.33209232422453,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.84950641164654,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.74625204725646,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.08851415156752,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.430163832808255,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.57370957690904,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.7793497523532,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.82180901496224,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.8698735762929,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,6,-129.3347251087757,"{0: 5, 1: 2, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.3678466048361,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.28539273912422,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.84554128915687,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.72733184838643,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.86476114923795,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,7,-59.65395040225499,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.16725335876973,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.49036383392657,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.04434832500027,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.43542312048895,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.31637694006182,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.66181373604365,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.85609270408554,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-248.30245058110185,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.63976451095955,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-276.8518342147734,"{0: 10, 1: 3, 2: 13, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-215.78322858991916,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-181.1814503265955,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,11,-59.55765539288942,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 1}",1
